llm,lab,clean_model_name,prompt_id,type,open_weights,full_cot,avg_completion_tokens,avg_reasoning_ratio,avg_success_rate,total_responses
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,AIME2023II_P1,Math,True,True,2082.6,0.7754486506394729,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,AIME2023II_P1_mod,Math,True,True,1754.8,0.7824573211552002,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,AIME2025I_P2_modified,Math,True,True,7612.8,0.8814328429128342,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,AIME2025I_Problem_2,Math,True,True,7966.4,0.9316416323883994,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,Ice cream parlor,Math,True,True,4094.6,0.8666108124658033,0.8,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,Integer pairs,Math,True,True,8754.8,0.9207421373719237,0.6,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,brazil_continent,knowledge,True,True,182.2,0.9267117310302732,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,bridge_torch_default,logic puzzle,True,True,2025.8,0.8582392443225076,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,bridge_torch_easy,logic puzzle,True,True,13207.6,0.7671649048843106,0.2,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,bridge_torch_easy_10m,logic puzzle,True,True,6842.6,0.9610184909989901,0.8,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,bridge_torch_impossible,logic puzzle,True,True,11863.2,0.9686167038088696,0.2,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,capital_of_australia,knowledge,True,True,337.2,0.7904934563718511,1.0,5
