llm,lab,clean_model_name,prompt_id,type,open_weights,full_cot,avg_completion_tokens,avg_reasoning_ratio,avg_success_rate,total_responses
Claude Sonnet 4.5,anthropic,Claude Sonnet 4.5,brazil_continent,knowledge,False,False,53.0,0.6590169902097902,1.0,5
Claude Sonnet 4.5,anthropic,Claude Sonnet 4.5,capital_of_australia,knowledge,False,False,75.6,0.8249872754860123,1.0,5
Claude Sonnet 4.5,anthropic,Claude Sonnet 4.5,leap_year_february_days,knowledge,False,False,96.2,0.8280538434826598,1.0,5
Claude Sonnet 4.5,anthropic,Claude Sonnet 4.5,one_plus_one,knowledge,False,False,35.8,0.9460380313813813,1.0,5
Claude Sonnet 4.5,anthropic,Claude Sonnet 4.5,train_distance,knowledge,False,False,175.0,0.6142247100022784,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,brazil_continent,knowledge,True,True,182.2,0.9267117310302732,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,capital_of_australia,knowledge,True,True,337.2,0.7904934563718511,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,leap_year_february_days,knowledge,True,True,501.4,0.8202228919314793,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,one_plus_one,knowledge,True,True,497.8,0.902538892035192,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,train_distance,knowledge,True,True,548.4,0.8312690796252735,1.0,5
Hermes-4-405B,nous,Hermes-4-405B,brazil_continent,knowledge,True,True,268.4,0.7333751551464867,1.0,5
Hermes-4-405B,nous,Hermes-4-405B,capital_of_australia,knowledge,True,True,291.0,0.7439618934010326,1.0,5
Hermes-4-405B,nous,Hermes-4-405B,leap_year_february_days,knowledge,True,True,324.4,0.7089024264143651,1.0,5
Hermes-4-405B,nous,Hermes-4-405B,one_plus_one,knowledge,True,True,281.2,0.8138907828282378,1.0,5
Hermes-4-405B,nous,Hermes-4-405B,train_distance,knowledge,True,True,428.4,0.8283385551851131,1.0,5
