llm,lab,clean_model_name,prompt_id,type,open_weights,full_cot,avg_completion_tokens,avg_reasoning_ratio,avg_success_rate,total_responses
Claude Sonnet 4.5,anthropic,Claude Sonnet 4.5,AIME2023II_P1,Math,False,False,1016.6,0.6063698260272318,1.0,5
Claude Sonnet 4.5,anthropic,Claude Sonnet 4.5,AIME2023II_P1_mod,Math,False,False,1002.6,0.6124798592060082,1.0,5
Claude Sonnet 4.5,anthropic,Claude Sonnet 4.5,AIME2025I_P2_modified,Math,False,False,2360.0,0.8203723205089137,1.0,5
Claude Sonnet 4.5,anthropic,Claude Sonnet 4.5,AIME2025I_Problem_2,Math,False,False,3438.4,0.842603608921951,1.0,5
Claude Sonnet 4.5,anthropic,Claude Sonnet 4.5,Ice cream parlor,Math,False,False,2327.6,0.7458233322795196,1.0,5
Claude Sonnet 4.5,anthropic,Claude Sonnet 4.5,Integer pairs,Math,False,False,4906.2,0.8553452604699829,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,AIME2023II_P1,Math,True,True,2082.6,0.7754486506394729,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,AIME2023II_P1_mod,Math,True,True,1754.8,0.7824573211552002,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,AIME2025I_P2_modified,Math,True,True,7612.8,0.8814328429128342,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,AIME2025I_Problem_2,Math,True,True,7966.4,0.9316416323883994,1.0,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,Ice cream parlor,Math,True,True,4094.6,0.8666108124658033,0.8,5
DeepHermes-3-Mistral-24B-Pre,nous,DeepHermes-3-Mistral-24B-Pre,Integer pairs,Math,True,True,8754.8,0.9207421373719237,0.6,5
Hermes-4-405B,nous,Hermes-4-405B,AIME2023II_P1,Math,True,True,1486.8,0.6943524648882804,1.0,5
Hermes-4-405B,nous,Hermes-4-405B,AIME2023II_P1_mod,Math,True,True,1470.4,0.7090073536608053,1.0,5
Hermes-4-405B,nous,Hermes-4-405B,AIME2025I_P2_modified,Math,True,True,3074.4,0.8541754965642496,1.0,5
Hermes-4-405B,nous,Hermes-4-405B,AIME2025I_Problem_2,Math,True,True,3360.0,0.8575977834064252,1.0,5
