llm,prompt_id,type,open_weights,full_cot,avg_completion_tokens,avg_reasoning_ratio,avg_success_rate,total_responses
DeepHermes-3-Mistral-24B-Pre,brazil_continent,knowledge,True,True,182.2,0.9267117310302732,1.0,5
DeepHermes-3-Mistral-24B-Pre,capital_of_australia,knowledge,True,True,337.2,0.7904934563718511,1.0,5
DeepHermes-3-Mistral-24B-Pre,leap_year_february_days,knowledge,True,True,501.4,0.8202228919314793,1.0,5
DeepHermes-3-Mistral-24B-Pre,one_plus_one,knowledge,True,True,497.8,0.902538892035192,1.0,5
DeepHermes-3-Mistral-24B-Pre,train_distance,knowledge,True,True,548.4,0.8312690796252735,1.0,5
Hermes-4-405B,brazil_continent,knowledge,True,True,268.4,0.7333751551464867,1.0,5
Hermes-4-405B,capital_of_australia,knowledge,True,True,291.0,0.7439618934010326,1.0,5
Hermes-4-405B,leap_year_february_days,knowledge,True,True,324.4,0.7089024264143651,1.0,5
Hermes-4-405B,one_plus_one,knowledge,True,True,281.2,0.8138907828282378,1.0,5
Hermes-4-405B,train_distance,knowledge,True,True,428.4,0.8283385551851131,1.0,5
claude-4-sonnet-0522-thinking,brazil_continent,knowledge,False,False,55.6,0.6982442079175211,1.0,5
claude-4-sonnet-0522-thinking,capital_of_australia,knowledge,False,False,86.8,0.861971565795535,1.0,5
claude-4-sonnet-0522-thinking,leap_year_february_days,knowledge,False,False,161.0,0.5719644720179738,1.0,5
claude-4-sonnet-0522-thinking,one_plus_one,knowledge,False,False,45.4,0.9360447884057971,1.0,5
claude-4-sonnet-0522-thinking,train_distance,knowledge,False,False,193.6,0.6244202256727156,1.0,5
claude-opus-4.1,brazil_continent,knowledge,False,False,58.8,0.7145804922035042,1.0,5
claude-opus-4.1,capital_of_australia,knowledge,False,False,81.8,0.8503993748768014,1.0,5
claude-opus-4.1,leap_year_february_days,knowledge,False,False,108.6,0.6869986884391748,1.0,5
claude-opus-4.1,one_plus_one,knowledge,False,False,49.2,0.9409682375450179,1.0,5
claude-opus-4.1,train_distance,knowledge,False,False,147.8,0.49562789946875885,1.0,5
deepseek-r1-0528,brazil_continent,knowledge,True,True,234.6,0.7975364112589689,1.0,5
deepseek-r1-0528,capital_of_australia,knowledge,True,True,360.2,0.6071182573154031,1.0,5
deepseek-r1-0528,leap_year_february_days,knowledge,True,True,454.6,0.8000288728374947,1.0,5
deepseek-r1-0528,one_plus_one,knowledge,True,True,323.6,0.9304659318106498,1.0,5
deepseek-r1-0528,train_distance,knowledge,True,True,661.2,0.7695746435258282,1.0,5
gemini-2.5-flash-high,brazil_continent,knowledge,False,False,38.8,0.7630122328453524,1.0,5
gemini-2.5-flash-high,capital_of_australia,knowledge,False,False,47.2,0.7745766733266735,1.0,5
gemini-2.5-flash-high,leap_year_february_days,knowledge,False,False,126.0,0.8595203731292299,1.0,5
gemini-2.5-flash-high,one_plus_one,knowledge,False,False,46.6,0.9725595238095238,1.0,5
gemini-2.5-flash-high,train_distance,knowledge,False,False,282.6,0.7887282263493864,1.0,5
gemini-2.5-pro,brazil_continent,knowledge,False,False,310.8,0.9662021434842233,1.0,5
gemini-2.5-pro,capital_of_australia,knowledge,False,False,335.6,0.978216511836915,1.0,5
gemini-2.5-pro,leap_year_february_days,knowledge,False,False,607.4,0.9942767411091744,1.0,5
gemini-2.5-pro,one_plus_one,knowledge,False,False,311.4,0.9756808930330652,1.0,5
gemini-2.5-pro,train_distance,knowledge,False,False,566.2,0.8799318618946745,1.0,5
glm-4.5,brazil_continent,knowledge,True,True,299.8,0.7514931130387229,1.0,5
glm-4.5,capital_of_australia,knowledge,True,True,352.4,0.6406680265920895,1.0,5
glm-4.5,leap_year_february_days,knowledge,True,True,499.8,0.825157133160532,1.0,5
glm-4.5,one_plus_one,knowledge,True,True,374.2,0.9487789897656581,1.0,5
glm-4.5,train_distance,knowledge,True,True,597.4,0.7119894810710625,1.0,5
gpt-5,brazil_continent,knowledge,False,False,136.4,0.7502653951846392,1.0,5
gpt-5,capital_of_australia,knowledge,False,False,123.6,0.9202168515174627,1.0,5
gpt-5,leap_year_february_days,knowledge,False,False,136.6,0.9289111442370993,1.0,5
gpt-5,one_plus_one,knowledge,False,False,173.4,0.9367457164640264,1.0,5
gpt-5,train_distance,knowledge,False,False,136.0,0.9411764705882353,1.0,5
gpt-oss-120b,brazil_continent,knowledge,True,True,55.8,0.7521576020354199,1.0,5
