llm,prompt_id,type,open_weights,full_cot,avg_completion_tokens,avg_reasoning_ratio,avg_success_rate,total_responses
DeepHermes-3-Mistral-24B-Pre,AIME2023II_P1,Math,True,True,2082.6,0.7754486506394729,1.0,5
DeepHermes-3-Mistral-24B-Pre,AIME2023II_P1_mod,Math,True,True,1754.8,0.7824573211552002,1.0,5
DeepHermes-3-Mistral-24B-Pre,AIME2025I_P2_modified,Math,True,True,7612.8,0.8814328429128342,1.0,5
DeepHermes-3-Mistral-24B-Pre,AIME2025I_Problem_2,Math,True,True,7966.4,0.9316416323883994,1.0,5
DeepHermes-3-Mistral-24B-Pre,Ice cream parlor,Math,True,True,4094.6,0.8666108124658033,0.8,5
DeepHermes-3-Mistral-24B-Pre,Integer pairs,Math,True,True,8754.8,0.9207421373719237,0.6,5
Hermes-4-405B,AIME2023II_P1,Math,True,True,1486.8,0.6943524648882804,1.0,5
Hermes-4-405B,AIME2023II_P1_mod,Math,True,True,1470.4,0.7090073536608053,1.0,5
Hermes-4-405B,AIME2025I_P2_modified,Math,True,True,3074.4,0.8541754965642496,1.0,5
Hermes-4-405B,AIME2025I_Problem_2,Math,True,True,3360.0,0.8575977834064252,1.0,5
Hermes-4-405B,Ice cream parlor,Math,True,True,3846.2,0.8889628144089284,1.0,5
Hermes-4-405B,Integer pairs,Math,True,True,5158.0,0.9037270220086272,1.0,5
claude-4-sonnet-0522-thinking,AIME2023II_P1,Math,False,False,1831.4,0.6972889237080703,1.0,5
claude-4-sonnet-0522-thinking,AIME2023II_P1_mod,Math,False,False,2650.0,0.7801433370770015,1.0,5
claude-4-sonnet-0522-thinking,AIME2025I_P2_modified,Math,False,False,7479.4,0.9356501530731911,1.0,5
claude-4-sonnet-0522-thinking,AIME2025I_Problem_2,Math,False,False,5118.2,0.8828246934418484,1.0,5
claude-4-sonnet-0522-thinking,Ice cream parlor,Math,False,False,3905.6,0.7990363081194171,1.0,5
claude-4-sonnet-0522-thinking,Integer pairs,Math,False,False,8508.4,0.914769117559819,1.0,5
claude-opus-4.1,AIME2023II_P1,Math,False,False,1103.2,0.6189751466049487,1.0,5
claude-opus-4.1,AIME2023II_P1_mod,Math,False,False,1540.4,0.6837265348596889,1.0,5
claude-opus-4.1,AIME2025I_P2_modified,Math,False,False,2275.4,0.8050469170598691,1.0,5
claude-opus-4.1,AIME2025I_Problem_2,Math,False,False,3314.6,0.8344058462402375,1.0,5
claude-opus-4.1,Ice cream parlor,Math,False,False,3077.8,0.7775144591349518,1.0,5
claude-opus-4.1,Integer pairs,Math,False,False,4914.4,0.8461016760552571,1.0,5
deepseek-r1-0528,AIME2023II_P1,Math,True,True,4122.6,0.7517499955303253,1.0,5
deepseek-r1-0528,AIME2023II_P1_mod,Math,True,True,4005.2,0.7596158947621519,1.0,5
deepseek-r1-0528,AIME2025I_P2_modified,Math,True,True,6261.6,0.6320592969756006,1.0,5
deepseek-r1-0528,AIME2025I_Problem_2,Math,True,True,7673.4,0.6722797835085202,1.0,5
deepseek-r1-0528,Ice cream parlor,Math,True,True,11761.6,0.7951428292191849,1.0,5
deepseek-r1-0528,Integer pairs,Math,True,True,13108.0,0.7012631194377559,1.0,5
gemini-2.5-flash-high,AIME2023II_P1,Math,False,False,4612.4,0.7509345903010345,1.0,5
gemini-2.5-flash-high,AIME2023II_P1_mod,Math,False,False,4206.2,0.7051603859375808,1.0,5
gemini-2.5-flash-high,AIME2025I_P2_modified,Math,False,False,2878.2,0.6767252147069028,1.0,5
gemini-2.5-flash-high,AIME2025I_Problem_2,Math,False,False,3551.0,0.6849696278116582,1.0,5
gemini-2.5-flash-high,Ice cream parlor,Math,False,False,5752.4,0.733081053454214,1.0,5
gemini-2.5-flash-high,Integer pairs,Math,False,False,5679.2,0.7200639256588726,1.0,5
gemini-2.5-pro,AIME2023II_P1,Math,False,False,2627.8,0.7668080142735223,1.0,5
gemini-2.5-pro,AIME2023II_P1_mod,Math,False,False,2502.2,0.7800854273723588,1.0,5
gemini-2.5-pro,AIME2025I_P2_modified,Math,False,False,6104.2,0.8380631655424893,1.0,5
gemini-2.5-pro,AIME2025I_Problem_2,Math,False,False,5457.4,0.8289888694178579,1.0,5
gemini-2.5-pro,Ice cream parlor,Math,False,False,9480.8,0.8162300045585109,1.0,5
gemini-2.5-pro,Integer pairs,Math,False,False,5951.2,0.7562423742066052,1.0,5
glm-4.5,AIME2023II_P1,Math,True,True,2945.2,0.6877835303647977,1.0,5
glm-4.5,AIME2023II_P1_mod,Math,True,True,3238.8,0.6700382769417946,1.0,5
glm-4.5,AIME2025I_P2_modified,Math,True,True,7682.8,0.6406280424465303,1.0,5
glm-4.5,AIME2025I_Problem_2,Math,True,True,7284.0,0.6396240435600836,1.0,5
glm-4.5,Ice cream parlor,Math,True,True,11828.0,0.7523180404546309,1.0,5
glm-4.5,Integer pairs,Math,True,True,12466.2,0.6806493386266441,1.0,5
gpt-5,AIME2023II_P1,Math,False,False,638.4,0.9459860999994885,1.0,5
gpt-5,AIME2023II_P1_mod,Math,False,False,681.4,0.9584063607249563,1.0,5
gpt-5,AIME2025I_P2_modified,Math,False,False,1750.6,0.9325625135472089,1.0,5
gpt-5,AIME2025I_Problem_2,Math,False,False,2120.0,0.9585088287848693,1.0,5
gpt-5,Ice cream parlor,Math,False,False,2633.6,0.9884398113587114,1.0,5
gpt-5,Integer pairs,Math,False,False,3987.8,0.9982167858747447,1.0,5
gpt-oss-120b,AIME2023II_P1,Math,True,True,555.8,0.28765212735427953,1.0,5
gpt-oss-120b,AIME2023II_P1_mod,Math,True,True,582.2,0.2899763875781489,1.0,5
gpt-oss-120b,AIME2025I_P2_modified,Math,True,True,1056.4,0.3949745771040422,1.0,5
gpt-oss-120b,AIME2025I_Problem_2,Math,True,True,1127.0,0.42604791682064896,1.0,5
gpt-oss-120b,Ice cream parlor,Math,True,True,1552.6,0.44008997143459466,1.0,5
gpt-oss-120b,Integer pairs,Math,True,True,2428.2,0.4972090144834425,1.0,5
grok-4-07-09,AIME2023II_P1,Math,False,False,967.4,0.9989172799187325,1.0,5
grok-4-07-09,AIME2023II_P1_mod,Math,False,False,1014.6,0.9988932266730641,1.0,5
grok-4-07-09,AIME2025I_P2_modified,Math,False,False,1922.6,0.9994439359449497,1.0,5
grok-4-07-09,AIME2025I_Problem_2,Math,False,False,2093.0,0.9994997007845438,1.0,5
grok-4-07-09,Ice cream parlor,Math,False,False,1953.0,0.9983129749387215,1.0,5
grok-4-07-09,Integer pairs,Math,False,False,2340.0,0.9995455657458537,1.0,5
