llm,lab,clean_model_name,prompt_id,type,open_weights,full_cot,avg_completion_tokens,avg_reasoning_ratio,avg_success_rate,total_responses
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,bridge_torch_default,logic puzzle,False,True,11502.8,0.9609176783790199,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,bridge_torch_easy,logic puzzle,False,True,19834.0,0.9777807802111023,0.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,bridge_torch_easy_10m,logic puzzle,False,True,19497.0,0.9734067745430695,0.2,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,bridge_torch_impossible,logic puzzle,False,True,22466.6,0.9796457429879771,0.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,monty_appliance_simple,logic puzzle,False,True,5298.8,0.9313326484777248,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,monty_hall_default,logic puzzle,False,True,858.8,0.6496834701134626,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,monty_hall_inverse,logic puzzle,False,True,12035.0,0.9593594629595815,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,roses_logic,logic puzzle,False,True,1261.6,0.7588821830252519,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,bridge_torch_default,logic puzzle,False,False,1821.6,0.7915007490655801,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,bridge_torch_easy,logic puzzle,False,False,5745.0,0.9302379352608595,0.6,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,bridge_torch_easy_10m,logic puzzle,False,False,4446.2,0.9116074420764615,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,bridge_torch_impossible,logic puzzle,False,False,12084.2,0.9574263641118181,0.8,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,monty_appliance_simple,logic puzzle,False,False,5120.0,0.9012400184728305,0.2,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,monty_hall_default,logic puzzle,False,False,745.2,0.6363549049359937,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,monty_hall_inverse,logic puzzle,False,False,2385.4,0.7773788334565763,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,roses_logic,logic puzzle,False,False,724.8,0.5310389587949288,1.0,5
claude-opus-4,anthropic,claude-opus-4,bridge_torch_default,logic puzzle,False,False,941.4,0.6492606067890412,1.0,5
claude-opus-4,anthropic,claude-opus-4,bridge_torch_easy,logic puzzle,False,False,2168.8,0.839124273356114,0.8,5
claude-opus-4,anthropic,claude-opus-4,bridge_torch_easy_10m,logic puzzle,False,False,582.4,0.5922422669535845,1.0,5
claude-opus-4,anthropic,claude-opus-4,bridge_torch_impossible,logic puzzle,False,False,10623.6,0.9524759265011433,0.8,5
claude-opus-4,anthropic,claude-opus-4,monty_appliance_simple,logic puzzle,False,False,1060.0,0.7219785781499285,0.6,5
claude-opus-4,anthropic,claude-opus-4,monty_hall_default,logic puzzle,False,False,638.8,0.6040845836122485,1.0,5
claude-opus-4,anthropic,claude-opus-4,monty_hall_inverse,logic puzzle,False,False,1541.8,0.661957053046818,0.8,5
claude-opus-4,anthropic,claude-opus-4,roses_logic,logic puzzle,False,False,520.0,0.4932724410023601,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,bridge_torch_default,logic puzzle,False,False,1055.4,0.669209175034682,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,bridge_torch_easy,logic puzzle,False,False,3450.8,0.8908475874209711,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,bridge_torch_easy_10m,logic puzzle,False,False,668.6,0.566313688140304,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,bridge_torch_impossible,logic puzzle,False,False,9453.4,0.9461991207704656,0.4,5
claude-opus-4.1,anthropic,claude-opus-4.1,monty_appliance_simple,logic puzzle,False,False,1069.0,0.6332722891257566,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,monty_hall_default,logic puzzle,False,False,622.0,0.57227122312891,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,monty_hall_inverse,logic puzzle,False,False,730.6,0.5624805869177731,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,roses_logic,logic puzzle,False,False,558.6,0.47321036910679865,1.0,5
deepseek-V3.1,deepseek,deepseek-V3.1,bridge_torch_default,logic puzzle,True,True,1504.4,0.8568931718542153,1.0,5
deepseek-V3.1,deepseek,deepseek-V3.1,bridge_torch_easy,logic puzzle,True,True,13855.4,0.9841351868137638,0.4,5
deepseek-V3.1,deepseek,deepseek-V3.1,bridge_torch_easy_10m,logic puzzle,True,True,5316.6,0.9752093536689973,1.0,5
deepseek-V3.1,deepseek,deepseek-V3.1,bridge_torch_impossible,logic puzzle,True,True,21088.2,0.9860141128682127,0.2,5
deepseek-V3.1,deepseek,deepseek-V3.1,monty_appliance_simple,logic puzzle,True,True,5471.4,0.9658401030541708,0.6,5
deepseek-V3.1,deepseek,deepseek-V3.1,monty_hall_default,logic puzzle,True,True,454.0,0.6584678221056371,1.0,5
deepseek-V3.1,deepseek,deepseek-V3.1,monty_hall_inverse,logic puzzle,True,True,2128.6,0.8807579172150627,0.8,5
deepseek-V3.1,deepseek,deepseek-V3.1,roses_logic,logic puzzle,True,True,386.4,0.6885303034526812,1.0,5
deepseek-r1,deepseek,deepseek-r1,bridge_torch_default,logic puzzle,True,True,1950.0,0.8483548570746484,1.0,5
deepseek-r1,deepseek,deepseek-r1,bridge_torch_easy,logic puzzle,True,True,9136.4,0.9238472616107897,0.2,5
deepseek-r1,deepseek,deepseek-r1,bridge_torch_easy_10m,logic puzzle,True,True,2822.8,0.9412832038729769,1.0,5
deepseek-r1,deepseek,deepseek-r1,bridge_torch_impossible,logic puzzle,True,True,8031.8,0.9027595771462285,0.0,5
deepseek-r1,deepseek,deepseek-r1,monty_appliance_simple,logic puzzle,True,True,4065.8,0.9448966285288056,1.0,5
deepseek-r1,deepseek,deepseek-r1,monty_hall_default,logic puzzle,True,True,1033.2,0.7585450213198698,1.0,5
deepseek-r1,deepseek,deepseek-r1,monty_hall_inverse,logic puzzle,True,True,2704.6,0.8921060940081569,1.0,5
deepseek-r1,deepseek,deepseek-r1,roses_logic,logic puzzle,True,True,758.6,0.7587559178907399,1.0,5
deepseek-r1-0528,deepseek,deepseek-r1-0528,bridge_torch_default,logic puzzle,True,True,5915.6,0.9166766772995238,1.0,5
deepseek-r1-0528,deepseek,deepseek-r1-0528,bridge_torch_easy,logic puzzle,True,True,12177.0,0.9695592971356713,1.0,5
deepseek-r1-0528,deepseek,deepseek-r1-0528,bridge_torch_easy_10m,logic puzzle,True,True,5451.0,0.9354679335273246,1.0,5
deepseek-r1-0528,deepseek,deepseek-r1-0528,bridge_torch_impossible,logic puzzle,True,True,14393.5,0.9640480026519096,1.0,2
deepseek-r1-0528,deepseek,deepseek-r1-0528,monty_appliance_simple,logic puzzle,True,True,4326.2,0.8846982017390704,1.0,5
deepseek-r1-0528,deepseek,deepseek-r1-0528,monty_hall_default,logic puzzle,True,True,1720.0,0.6888874747258533,1.0,5
