llm,lab,clean_model_name,prompt_id,type,open_weights,full_cot,avg_completion_tokens,avg_reasoning_ratio,avg_success_rate,total_responses
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,AIME2023II_P1,Math,False,True,2848.8,0.8596737032947264,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,AIME2023II_P1_mod,Math,False,True,2766.8,0.8368931305177713,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,AIME2025I_P2_modified,Math,False,True,7756.8,0.944303737375427,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,AIME2025I_Problem_2,Math,False,True,9248.4,0.9470885348922918,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,Ice cream parlor,Math,False,True,15636.2,0.9641972871177813,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,Integer pairs,Math,False,True,14976.8,0.9601613672076887,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,bridge_torch_default,logic puzzle,False,True,11502.8,0.9609176783790199,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,bridge_torch_easy,logic puzzle,False,True,19834.0,0.9777807802111023,0.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,bridge_torch_easy_10m,logic puzzle,False,True,19497.0,0.9734067745430695,0.2,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,bridge_torch_impossible,logic puzzle,False,True,22466.6,0.9796457429879771,0.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,monty_appliance_simple,logic puzzle,False,True,5298.8,0.9313326484777248,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,monty_hall_default,logic puzzle,False,True,858.8,0.6496834701134626,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,monty_hall_inverse,logic puzzle,False,True,12035.0,0.9593594629595815,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,roses_logic,logic puzzle,False,True,1261.6,0.7588821830252519,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,AIME2023II_P1,Math,False,False,1831.4,0.6972889237080703,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,AIME2023II_P1_mod,Math,False,False,2650.0,0.7801433370770015,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,AIME2025I_P2_modified,Math,False,False,7479.4,0.9356501530731911,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,AIME2025I_Problem_2,Math,False,False,5118.2,0.8828246934418484,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,Ice cream parlor,Math,False,False,3905.6,0.7990363081194171,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,Integer pairs,Math,False,False,8508.4,0.914769117559819,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,bridge_torch_default,logic puzzle,False,False,1821.6,0.7915007490655801,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,bridge_torch_easy,logic puzzle,False,False,5745.0,0.9302379352608595,0.6,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,bridge_torch_easy_10m,logic puzzle,False,False,4446.2,0.9116074420764615,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,bridge_torch_impossible,logic puzzle,False,False,12084.2,0.9574263641118181,0.8,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,monty_appliance_simple,logic puzzle,False,False,5120.0,0.9012400184728305,0.2,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,monty_hall_default,logic puzzle,False,False,745.2,0.6363549049359937,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,monty_hall_inverse,logic puzzle,False,False,2385.4,0.7773788334565763,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,roses_logic,logic puzzle,False,False,724.8,0.5310389587949288,1.0,5
claude-opus-4,anthropic,claude-opus-4,AIME2023II_P1,Math,False,False,1181.2,0.6627352810402416,1.0,5
claude-opus-4,anthropic,claude-opus-4,AIME2023II_P1_mod,Math,False,False,1385.8,0.6732283825471836,1.0,5
claude-opus-4,anthropic,claude-opus-4,AIME2025I_P2_modified,Math,False,False,6155.8,0.9329499805499782,1.0,5
claude-opus-4,anthropic,claude-opus-4,AIME2025I_Problem_2,Math,False,False,6012.0,0.9105509823308605,1.0,5
claude-opus-4,anthropic,claude-opus-4,Ice cream parlor,Math,False,False,3571.4,0.8184621304529319,1.0,5
claude-opus-4,anthropic,claude-opus-4,Integer pairs,Math,False,False,5833.4,0.8631266249359802,1.0,5
claude-opus-4,anthropic,claude-opus-4,bridge_torch_default,logic puzzle,False,False,941.4,0.6492606067890412,1.0,5
claude-opus-4,anthropic,claude-opus-4,bridge_torch_easy,logic puzzle,False,False,2168.8,0.839124273356114,0.8,5
claude-opus-4,anthropic,claude-opus-4,bridge_torch_easy_10m,logic puzzle,False,False,582.4,0.5922422669535845,1.0,5
claude-opus-4,anthropic,claude-opus-4,bridge_torch_impossible,logic puzzle,False,False,10623.6,0.9524759265011433,0.8,5
claude-opus-4,anthropic,claude-opus-4,monty_appliance_simple,logic puzzle,False,False,1060.0,0.7219785781499285,0.6,5
claude-opus-4,anthropic,claude-opus-4,monty_hall_default,logic puzzle,False,False,638.8,0.6040845836122485,1.0,5
claude-opus-4,anthropic,claude-opus-4,monty_hall_inverse,logic puzzle,False,False,1541.8,0.661957053046818,0.8,5
claude-opus-4,anthropic,claude-opus-4,roses_logic,logic puzzle,False,False,520.0,0.4932724410023601,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,AIME2023II_P1,Math,False,False,1103.2,0.6189751466049487,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,AIME2023II_P1_mod,Math,False,False,1540.4,0.6837265348596889,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,AIME2025I_P2_modified,Math,False,False,2275.4,0.8050469170598691,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,AIME2025I_Problem_2,Math,False,False,3314.6,0.8344058462402375,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,Ice cream parlor,Math,False,False,3077.8,0.7775144591349518,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,Integer pairs,Math,False,False,4914.4,0.8461016760552571,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,bridge_torch_default,logic puzzle,False,False,1055.4,0.669209175034682,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,bridge_torch_easy,logic puzzle,False,False,3450.8,0.8908475874209711,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,bridge_torch_easy_10m,logic puzzle,False,False,668.6,0.566313688140304,1.0,5
