llm,prompt_id,type,open_weights,full_cot,avg_completion_tokens,avg_reasoning_ratio,avg_success_rate,total_responses
DeepHermes-3-Mistral-24B-Pre,AIME2023II_P1,Math,True,True,2082.6,0.7754486506394729,1.0,5
DeepHermes-3-Mistral-24B-Pre,AIME2023II_P1_mod,Math,True,True,1754.8,0.7824573211552002,1.0,5
DeepHermes-3-Mistral-24B-Pre,AIME2025I_P2_modified,Math,True,True,7612.8,0.8814328429128342,1.0,5
DeepHermes-3-Mistral-24B-Pre,AIME2025I_Problem_2,Math,True,True,7966.4,0.9316416323883994,1.0,5
DeepHermes-3-Mistral-24B-Pre,Ice cream parlor,Math,True,True,4094.6,0.8666108124658033,0.8,5
DeepHermes-3-Mistral-24B-Pre,Integer pairs,Math,True,True,8754.8,0.9207421373719237,0.6,5
DeepHermes-3-Mistral-24B-Pre,brazil_continent,knowledge,True,True,182.2,0.9267117310302732,1.0,5
DeepHermes-3-Mistral-24B-Pre,bridge_torch_default,logic puzzle,True,True,2025.8,0.8582392443225076,1.0,5
DeepHermes-3-Mistral-24B-Pre,bridge_torch_easy,logic puzzle,True,True,13207.6,0.7671649048843106,0.2,5
DeepHermes-3-Mistral-24B-Pre,bridge_torch_easy_10m,logic puzzle,True,True,6842.6,0.9610184909989901,0.8,5
DeepHermes-3-Mistral-24B-Pre,bridge_torch_impossible,logic puzzle,True,True,11863.2,0.9686167038088696,0.2,5
DeepHermes-3-Mistral-24B-Pre,capital_of_australia,knowledge,True,True,337.2,0.7904934563718511,1.0,5
DeepHermes-3-Mistral-24B-Pre,leap_year_february_days,knowledge,True,True,501.4,0.8202228919314793,1.0,5
DeepHermes-3-Mistral-24B-Pre,monty_appliance_simple,logic puzzle,True,True,6444.2,0.9593827471483334,0.8,5
DeepHermes-3-Mistral-24B-Pre,monty_hall_default,logic puzzle,True,True,1124.2,0.7933718289156426,1.0,5
DeepHermes-3-Mistral-24B-Pre,monty_hall_inverse,logic puzzle,True,True,3225.2,0.8203498959686311,0.4,5
DeepHermes-3-Mistral-24B-Pre,one_plus_one,knowledge,True,True,497.8,0.902538892035192,1.0,5
DeepHermes-3-Mistral-24B-Pre,roses_logic,logic puzzle,True,True,1066.6,0.7839006449121901,1.0,5
DeepHermes-3-Mistral-24B-Pre,train_distance,knowledge,True,True,548.4,0.8312690796252735,1.0,5
claude-3-7-sonnet-20250219,AIME2023II_P1,Math,False,True,2848.8,0.8596737032947264,1.0,5
claude-3-7-sonnet-20250219,AIME2023II_P1_mod,Math,False,True,2766.8,0.8368931305177713,1.0,5
claude-3-7-sonnet-20250219,AIME2025I_P2_modified,Math,False,True,7756.8,0.944303737375427,1.0,5
claude-3-7-sonnet-20250219,AIME2025I_Problem_2,Math,False,True,9248.4,0.9470885348922918,1.0,5
claude-3-7-sonnet-20250219,Ice cream parlor,Math,False,True,15636.2,0.9641972871177813,1.0,5
claude-3-7-sonnet-20250219,Integer pairs,Math,False,True,14976.8,0.9601613672076887,1.0,5
claude-3-7-sonnet-20250219,brazil_continent,knowledge,False,True,107.2,0.8152222479076021,1.0,5
claude-3-7-sonnet-20250219,bridge_torch_default,logic puzzle,False,True,11502.8,0.9609176783790199,1.0,5
claude-3-7-sonnet-20250219,bridge_torch_easy,logic puzzle,False,True,19834.0,0.9777807802111023,0.0,5
claude-3-7-sonnet-20250219,bridge_torch_easy_10m,logic puzzle,False,True,19497.0,0.9734067745430695,0.2,5
claude-3-7-sonnet-20250219,bridge_torch_impossible,logic puzzle,False,True,22466.6,0.9796457429879771,0.0,5
claude-3-7-sonnet-20250219,capital_of_australia,knowledge,False,True,149.8,0.6494028933435728,1.0,5
claude-3-7-sonnet-20250219,leap_year_february_days,knowledge,False,True,173.4,0.8802633583907229,1.0,5
claude-3-7-sonnet-20250219,monty_appliance_simple,logic puzzle,False,True,5298.8,0.9313326484777248,1.0,5
claude-3-7-sonnet-20250219,monty_hall_default,logic puzzle,False,True,858.8,0.6496834701134626,1.0,5
claude-3-7-sonnet-20250219,monty_hall_inverse,logic puzzle,False,True,12035.0,0.9593594629595815,1.0,5
claude-3-7-sonnet-20250219,one_plus_one,knowledge,False,True,67.6,0.9248418859953038,1.0,5
claude-3-7-sonnet-20250219,roses_logic,logic puzzle,False,True,1261.6,0.7588821830252519,1.0,5
claude-3-7-sonnet-20250219,train_distance,knowledge,False,True,177.8,0.567463035151983,1.0,5
claude-4-sonnet-0522-thinking,AIME2023II_P1,Math,False,False,1831.4,0.6972889237080703,1.0,5
claude-4-sonnet-0522-thinking,AIME2023II_P1_mod,Math,False,False,2650.0,0.7801433370770015,1.0,5
claude-4-sonnet-0522-thinking,AIME2025I_P2_modified,Math,False,False,7479.4,0.9356501530731911,1.0,5
claude-4-sonnet-0522-thinking,AIME2025I_Problem_2,Math,False,False,5118.2,0.8828246934418484,1.0,5
claude-4-sonnet-0522-thinking,Ice cream parlor,Math,False,False,3905.6,0.7990363081194171,1.0,5
claude-4-sonnet-0522-thinking,Integer pairs,Math,False,False,8508.4,0.914769117559819,1.0,5
claude-4-sonnet-0522-thinking,brazil_continent,knowledge,False,False,55.6,0.6982442079175211,1.0,5
claude-4-sonnet-0522-thinking,bridge_torch_default,logic puzzle,False,False,1821.6,0.7915007490655801,1.0,5
claude-4-sonnet-0522-thinking,bridge_torch_easy,logic puzzle,False,False,5745.0,0.9302379352608595,0.6,5
claude-4-sonnet-0522-thinking,bridge_torch_easy_10m,logic puzzle,False,False,4446.2,0.9116074420764615,1.0,5
claude-4-sonnet-0522-thinking,bridge_torch_impossible,logic puzzle,False,False,12084.2,0.9574263641118181,0.8,5
claude-4-sonnet-0522-thinking,capital_of_australia,knowledge,False,False,86.8,0.861971565795535,1.0,5
claude-4-sonnet-0522-thinking,leap_year_february_days,knowledge,False,False,161.0,0.5719644720179738,1.0,5
claude-4-sonnet-0522-thinking,monty_appliance_simple,logic puzzle,False,False,5120.0,0.9012400184728305,0.2,5
claude-4-sonnet-0522-thinking,monty_hall_default,logic puzzle,False,False,745.2,0.6363549049359937,1.0,5
claude-4-sonnet-0522-thinking,monty_hall_inverse,logic puzzle,False,False,2385.4,0.7773788334565763,1.0,5
claude-4-sonnet-0522-thinking,one_plus_one,knowledge,False,False,45.4,0.9360447884057971,1.0,5
claude-4-sonnet-0522-thinking,roses_logic,logic puzzle,False,False,724.8,0.5310389587949288,1.0,5
claude-4-sonnet-0522-thinking,train_distance,knowledge,False,False,193.6,0.6244202256727156,1.0,5
claude-opus-4,AIME2023II_P1,Math,False,False,1181.2,0.6627352810402416,1.0,5
